,NAME,STATION_ID,NUM_EBIKES_AVAILABLE,CAPACITY,LATITUDE,LONGITUDE
73,Minnesota Ave & R St SE,0541e06c-642c-4f31-9f24-19bfcbb8811d,0,19,38.869337,-76.978519
74,Old Meadow Rd & Old Meadow Ln,1893304030462804528,0,12,38.918988,-77.21246
75,Hains Point/Buckeye & Ohio Dr SW,0825bb32-1f3f-11e7-bf6b-3863bb334450,0,17,38.878433,-77.03023
76,24th & R St NE / National Arboretum,08263311-1f3f-11e7-bf6b-3863bb334450,0,19,38.91263,-76.971923
77,Ridge Rd & Southern Ave SE,5d8d5182-ea42-49ec-8cae-8891759f5751,0,15,38.872976,-76.935246
78,Perry & 35th St,068e6359-1741-4240-9ed1-07a9038bc319,3,15,38.936213,-76.960054
79,Randle Circle & Minnesota Ave SE,1866861591028457548,0,11,38.87795,-76.96075
80,Washington Blvd & Walter Reed Dr ,0825bf2b-1f3f-11e7-bf6b-3863bb334450,4,15,38.873219,-77.082104
81,Layton Hall Dr & University Dr,1873077316413198460,0,12,38.850932,-77.302732
82,Barton St & 10th St N,08254123-1f3f-11e7-bf6b-3863bb334450,0,12,38.884961,-77.08777
83,Rockville Pike & Old Georgetown Rd,68bb0313-ccdb-4930-98ba-96d77ec986ef,0,15,39.049765,-77.11368
84,Tenleytown / Wisconsin Ave & Albemarle St NW,08249f58-1f3f-11e7-bf6b-3863bb334450,1,15,38.947607,-77.079382
85,16th & Irving St NW,082617d2-1f3f-11e7-bf6b-3863bb334450,0,19,38.928893,-77.03625
86,Division Ave & Foote St NE,0826337e-1f3f-11e7-bf6b-3863bb334450,1,15,38.897407,-76.925907
87,1st & S Capitol St SE / Oxon Run Trail,c778c501-ba47-479b-b652-831432ffd74f,2,19,38.824481,-77.005497
88,Thomas Circle,0824f8a2-1f3f-11e7-bf6b-3863bb334450,0,33,38.9059,-77.0325
89,St. Elizabeths West Campus/DHS ,8a10969e-9861-4926-bda6-f0b58a0c253d,3,19,38.853124,-77.005174
90,Amherst Ave & Prichard Rd,082651f8-1f3f-11e7-bf6b-3863bb334450,3,15,39.035965,-77.048395
91,15th & L St NW,0825fc3a-1f3f-11e7-bf6b-3863bb334450,7,23,38.903649,-77.034918
92,Medical Center Metro ,0826168f-1f3f-11e7-bf6b-3863bb334450,0,19,38.999378,-77.097882
93,21st & E St NW,08249cd3-1f3f-11e7-bf6b-3863bb334450,5,15,38.896114,-77.046615
94,Fort Lincoln Dr & 33rd Pl NE,c9760156-83bd-4a7d-9dfa-85d7ee463f62,1,15,38.921641,-76.955687
95,Stewart & April,52ba8179-5dda-404f-abba-796b3f645434,0,19,39.044944,-76.981155
96,Reston Pkwy & Spectrum Dr,686c82c2-23fe-4c15-9c75-708f61de98c7,1,11,38.964208,-77.35428
97,S Kenmore St & 24th St S,08254e55-1f3f-11e7-bf6b-3863bb334450,4,12,38.848454,-77.084918
98,N. Beauregard St. & Berkley St.,9f86df22-57d4-498a-ab35-2d3fb76e4723,0,19,38.841548,-77.107734
99,14th & Harvard St NW,082476ba-1f3f-11e7-bf6b-3863bb334450,0,19,38.9268,-77.0322
100,8th & H St NW,0824b9cc-1f3f-11e7-bf6b-3863bb334450,1,33,38.8997,-77.023086
101,15th St & N Scott St,082525bb-1f3f-11e7-bf6b-3863bb334450,0,15,38.89054,-77.08095
102,Blueridge Ave & Elkin St,ce78d5f4-486a-4a64-8518-5a10bfd7ef94,0,15,39.04313,-77.05006
103,1st & I St SE,08251f03-1f3f-11e7-bf6b-3863bb334450,1,23,38.878854,-77.005727
104,14th St & Luzon Ave NW,eda09ed8-ca5e-4187-938c-3260cabdf82d,0,19,38.969489,-77.033509
105,W Broad St & Little Falls St,f4402219-23c9-43ce-8af4-62984ee9ab68,0,12,38.883601,-77.173438
106,1st & Rhode Island Ave NW,082515d4-1f3f-11e7-bf6b-3863bb334450,0,15,38.915417,-77.012289
107,Tysons Metro South,0826359a-1f3f-11e7-bf6b-3863bb334450,0,11,38.919475,-77.221179
108,Tanner Park,177f7198-8814-4068-b809-b6074346d2e9,0,19,38.911214,-77.002257
109,Gatehouse Rd & Telestar Ct,523db239-4cfe-4d84-b8ff-60f1ad4d342c,0,11,38.868536,-77.225262
110,Eads St & 22nd St S,0824866e-1f3f-11e7-bf6b-3863bb334450,1,15,38.854381,-77.053412
111,11th & C St SE,3f1dfbbd-7b34-4efd-91a3-60acad4cf42f,0,19,38.885908,-76.991476
112,Iwo Jima Memorial / Meade & 14th St N,0825f344-1f3f-11e7-bf6b-3863bb334450,2,19,38.88992,-77.071301
113,14th St & Colorado Ave NW,082549b0-1f3f-11e7-bf6b-3863bb334450,2,19,38.956432,-77.032947
114,Commonwealth Ave & Oak St,08262027-1f3f-11e7-bf6b-3863bb334450,2,15,38.812711,-77.061715
115,S Jordan St & Venable St,599f7a69-823e-419a-b70e-8f9666dd4bd1,0,15,38.811361,-77.109975
116,S Four Mile Run Dr & Shirlington Rd,08254a91-1f3f-11e7-bf6b-3863bb334450,0,12,38.8444,-77.085931
117,Columbia Pike & S George Mason Dr,7a00f0f5-f757-4715-9e89-58253ac36de0,0,15,38.859306,-77.102019
118,N Veitch St & 20th St N,08251cd1-1f3f-11e7-bf6b-3863bb334450,0,16,38.896923,-77.086502
119,Ballston Metro / Stuart St & 9th St N,082526d1-1f3f-11e7-bf6b-3863bb334450,0,23,38.881044,-77.111768
120,Columbus Ave & Tribeca St,9029233f-84db-4f28-895d-8ecf727fb6d2,0,11,39.125828,-77.167059
121,Jones Branch Drive & Scotts Crossing Rd,b6ea8d82-3226-4aef-a1d2-78076110e718,0,11,38.928502,-77.215624
122,Kennedy Center,08249e19-1f3f-11e7-bf6b-3863bb334450,5,19,38.897293,-77.05557
123,Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St,08257239-1f3f-11e7-bf6b-3863bb334450,1,15,38.856319,-77.11153
124,N Oak St & W Broad St,edb40673-8b68-4db1-b9bf-6cb7943fdb50,3,12,38.88837,-77.179832
125,East West Hwy & Blair Mill Rd,08259804-1f3f-11e7-bf6b-3863bb334450,1,15,38.990249,-77.02935
126,Key West Ave & Siesta Key Way,08261479-1f3f-11e7-bf6b-3863bb334450,0,15,39.105295,-77.194774
127,Convention Center / 7th & M St NW,0824a4ce-1f3f-11e7-bf6b-3863bb334450,4,27,38.905737,-77.02227
128,6th & H St NE,0824bc70-1f3f-11e7-bf6b-3863bb334450,2,23,38.899972,-76.998347
129,Eisenhower Ave & Mill Race Ln,0825f794-1f3f-11e7-bf6b-3863bb334450,0,15,38.801111,-77.068952
130,Spring St & 2nd Ave,0825fd09-1f3f-11e7-bf6b-3863bb334450,1,15,38.997653,-77.034499
131,17th & K St NW / Farragut Square,0824c80d-1f3f-11e7-bf6b-3863bb334450,11,39,38.902061,-77.038322
132,36th & Calvert St NW / Glover Park,0824e189-1f3f-11e7-bf6b-3863bb334450,1,15,38.922581,-77.070334
133,Wisconsin Ave & Upton St NW,1880134928431421876,0,15,38.941808,-77.07643
134,Market Square / King St & Royal St,082539e0-1f3f-11e7-bf6b-3863bb334450,1,15,38.804718,-77.043363
135,4th & E St SW,082513a4-1f3f-11e7-bf6b-3863bb334450,3,19,38.88412,-77.017445
136,North Capitol St & F St NW,0824d140-1f3f-11e7-bf6b-3863bb334450,6,23,38.897446,-77.009888
137,Rhodes St & 16th St N,0824eea3-1f3f-11e7-bf6b-3863bb334450,0,12,38.892164,-77.079375
138,24th & N St NW,08253e02-1f3f-11e7-bf6b-3863bb334450,3,15,38.9066,-77.05152
139,Old Georgetown Rd & Southwick St,0825bce9-1f3f-11e7-bf6b-3863bb334450,2,19,38.999634,-77.109647
140,Glade Dr & Pinecrest Rd/Cathy Hudgins Cmty Ctr,9c8b35b2-fcab-4142-957d-5bb845374685,1,12,38.941496,-77.366499
141,Georgia Ave & Piney Branch Rd NW,08264097-1f3f-11e7-bf6b-3863bb334450,0,15,38.967505,-77.027976
142,S Glebe Rd & Potomac Ave,08247269-1f3f-11e7-bf6b-3863bb334450,2,11,38.8426,-77.0502
143,8th & K St NE,3d88e01e-e071-4638-829c-543410cded50,0,15,38.902732,-76.99515
144,Wisconsin Ave & Rodman St NW,c7402dc0-b498-47b0-8977-2b9d671a62bb,1,23,38.939674,-77.075277
